GeneSym,PhosphoLog2FC,n_phosphosites,n_sig_phospho,ProteinLog2FC,ProteinSig
CENPB,0.7429135036496319,1,0,0.06182561543762333,False
DAB2,0.7426100786147032,1,0,0.02853533400453756,False
TRRAP,0.7416903358179923,2,1,-0.006200548805495032,False
ZNF148,0.7413240995105888,4,2,0.1552805464472229,False
ZMYND11,0.7407716542271885,1,0,0.008223156203555959,False
BRD3,0.7385401257622668,1,0,-0.0854650828459711,False
ARFGAP2,0.7381730864036236,3,1,0.0015417021140500253,False
PAICS,0.7372113740133047,3,1,0.1499554379013901,False
SEPT7,0.7357969029206899,3,1,0.07783724710465378,False
SGTB,0.7327981028174104,2,0,-0.0018299667465697667,False
AMBRA1,0.7295781270025667,2,0,-0.01588622250823235,False
AKT1,0.728784985036695,2,1,0.11587299380688876,False
RNF20,0.727980776312152,4,0,0.0142709116288664,False
PRDX3,0.7279154993435384,1,0,0.026740498758105247,False
EIF3F,0.7271076915916268,1,0,0.028757801254730708,False
LIN37,0.7269536400545391,4,1,0.004157160989787911,False
PRPSAP1,0.7240983810924284,1,0,0.03580571215194439,False
LRP4,0.7233722377835008,1,0,-0.11043962906634874,False
RING1,0.7230381901485785,2,1,0.11650944585947087,False
SUGP2,0.72268842181421,6,1,0.059434023111649026,False
MET,0.7226101372913263,1,0,-0.6396845336886123,False
ABR,0.7213735801307699,1,0,-0.44546056600506745,False
SRSF10,0.7206717414331525,4,0,0.22448339366605907,False
XPO4,0.7192377947402733,1,0,0.19420556704438852,False
TEAD1,0.7187776687583494,1,0,0.07652923089912633,False
NOL10,0.7169271097583518,1,0,0.11988324884945456,False
RPP25,0.71685669154175,2,1,-0.29775373009351824,False
SPAG1,0.7165383140649535,2,0,0.0661937723343975,False
GIT1,0.715494012961706,4,1,-0.09313958442344727,False
KANK1,0.7149727274487596,5,1,0.10767627640766264,False
CCDC14,0.7149190859689885,2,1,0.04745922835948946,False
SLTM,0.7142689294690521,8,2,-0.026004425448462598,False
ADRM1,0.712925588547936,2,1,0.025207013320482474,False
STX18,0.712432180131298,1,0,0.08372963415604673,False
FZD6,0.7121345767265197,4,1,0.06629241968398958,False
ATAD3A,0.711945311750636,1,0,0.0787650581222934,False
STX12,0.7104665660208589,2,0,-0.12560415738154873,False
EP400,0.7103961444706024,13,3,0.13854656422273592,False
RECQL4,0.7100282549006908,3,0,0.0950041603736338,False
BAG3,0.7090415818430257,12,1,-0.2591956333598233,False
LIN9,0.7087484676824225,3,1,0.050744629630457894,False
STK17A,0.7077711076904336,1,0,-0.006843975003409497,False
GORASP2,0.7063975957365249,4,1,-0.03653444779190096,False
SP1,0.7056002933822079,2,1,0.13598188002734446,False
KNOP1,0.7036628860365496,9,1,0.013214741894216786,False
MEN1,0.7022782243273973,1,0,0.026393900319344965,False
C2orf88,0.7014031540313894,1,0,0.026941532390679868,False
CNP,0.7012110899886963,1,0,0.19307199794842234,False
RPAP1,0.6998159888247724,2,1,0.09537326590605488,False
TBC1D4,0.698585554894351,6,1,0.08618554288270985,False
NPM1,0.6966804804243213,11,1,-0.0016650626639460597,False
MYBBP1A,0.6947895003571798,8,2,0.08534250274319888,False
CCNT2,0.6942559170450036,4,0,0.08295688615606167,False
PHC1,0.6939292097496205,3,1,0.02779666176379081,False
CFAP36,0.6938406299347548,1,0,0.04668860480840209,False
XRCC1,0.6936502616696448,7,0,0.12218337796288026,False
YTHDC2,0.6936266379920744,4,1,-0.03751206685193509,False
UTP14A,0.6934992397159957,11,2,0.23994371438836382,False
ERC1,0.6929758250868865,4,1,0.02678092405091448,False
POLR3E,0.6929537622701414,4,1,0.10735881853180729,False
TRIO,0.6926427585117185,2,0,0.19786243708449192,False
FOS,0.6923414363616729,2,0,0.03801965372137772,False
TERF1,0.6910363853055692,1,0,0.020017160161891923,False
SIN3A,0.6908314108473217,8,1,-0.10473851865990369,False
HSPA4,0.6904122047712912,7,2,0.06753439233153813,False
POU3F2,0.6900355976787971,3,0,0.03973182057367808,False
CSPP1,0.6897313125973966,5,0,0.045696468955977565,False
ELAC2,0.6895033453459956,2,0,0.13772722968077744,False
RANBP1,0.6891633015241103,4,0,0.06120765662603844,False
AGAP3,0.6888214054559167,2,1,0.168222635758152,False
MSN,0.6885980837606809,1,0,0.10413539320569498,False
PRKAR1A,0.6873335670881282,2,0,0.2567552681923573,False
ATAD1,0.6854740295226058,2,0,0.2904960081421706,False
SP140L,0.6854088296012506,1,0,0.15231518580677061,False
PVRL1,0.6849212096410812,3,1,0.010031191840091935,False
LIG3,0.6846603605218338,2,1,-0.06537795806507063,False
SLC39A6,0.6835248455890728,1,0,0.2692734899267357,False
RBM26,0.6827247916487043,2,1,0.11313579114306549,False
NFXL1,0.6827023834853101,3,1,-0.0201335640482192,False
ZNF106,0.6820637031077128,17,4,0.8476191916241476,False
ZSCAN21,0.6810999155743609,2,0,-0.011371668198826512,False
SZRD1,0.6809934822946282,3,0,-0.32633688613792344,False
DPM1,0.6801645851736886,1,0,-0.1024889865382157,False
SLC41A3,0.6787818398806778,2,0,-0.22277811599587594,False
SNAP23,0.6783565894858393,6,2,0.003975576070647691,False
POM121,0.6779868389949755,3,0,0.17163649589056007,False
EVA1B,0.6778000773192474,2,0,0.10291904538407692,False
NAP1L4,0.6776473921438657,8,2,0.13209216754346187,False
DCK,0.6776279314587619,1,0,0.19340494931231333,False
NR4A1,0.6770138614809262,2,0,0.05602904670942621,False
DDX21,0.6762241115352309,6,1,0.17318612775125786,False
DDX10,0.6740907705722954,4,0,0.20444591536644907,False
UBAP2L,0.673450148841543,8,1,-0.024630853517997764,False
FRMD4B,0.6724709041485601,4,1,-0.3606671729704516,False
NUPL2,0.6721105562268832,1,0,0.040300204782436566,False
PWP1,0.6707052675920693,3,0,-0.16364484685050584,False
STUB1,0.6701635952982876,3,0,0.11037792789091228,False
