,ProteinFoldChange,PValue,AdjPValue,Significant
RSBN1,0.05890745304353473,0.7872772892915583,0.9757676912534892,False
LYPLAL1,0.0650707533585404,0.4720390720517842,0.9086363830850228,False
ECM29,0.2843823974333297,0.03397081124109502,0.4329938901791078,False
SLX4IP,0.07455433402237688,0.4274014702589608,0.8800723730691165,False
NAA35,-0.09565628029005069,0.37251469924458425,0.8701811028798047,False
LRRC16A,-0.13841146024891415,0.31445147269966045,0.8602661132433345,False
ZMYM4,0.05348458843109327,0.6470280230892865,0.9558209137948426,False
RNF219,0.0324215277094666,0.6753273082121741,0.9558209137948426,False
FAM160B1,-0.02329773951362668,0.7843076559618838,0.9757676912534892,False
SPRYD7,0.34700328577858386,0.13056052120647024,0.6954941671884404,False
QIL1,-0.03827386254474874,0.7953481574597694,0.9759521704704214,False
CD276,-0.7582133822113448,0.006138579570915928,0.2495805951257824,False
TSHZ3,0.03840694226995822,0.6184198268370813,0.9533884235117631,False
RNF213,-0.3325692366997153,0.3487024758532793,0.8676073108938235,False
AP1AR,-0.06220393015368586,0.6263115029348841,0.9556087593733652,False
KANK2,-0.23428802273171812,0.07226501760186747,0.5936817089710029,False
FAM21A,-0.037179419370716005,0.7559183497314225,0.9738407568612019,False
FAM91A1,-0.2937238320759441,0.007407908884075282,0.2495805951257824,False
TBC1D9B,-0.16587231186079876,0.4807315399101925,0.9134088070824972,False
MAP1S,-0.7108339398835319,0.011840702521319966,0.29186291759110733,False
E4F1,0.06172572683293964,0.4863310229326388,0.9146243514524387,False
ARL6IP4,0.052591904433164416,0.8394948127841678,0.9818672109238561,False
ATG16L1,0.04585011862680588,0.6238423666559624,0.9553606923919843,False
ARID2,-0.015145829879003259,0.9617362424459149,0.9943137920657577,False
DIEXF,-0.30622793941823545,0.2764879803001559,0.8420256285998596,False
GLT8D1,0.035309006619208105,0.6470154713277569,0.9558209137948426,False
TNS3,-0.76301871200112,0.1137145478010185,0.676922400647136,False
HAUS3,0.08499388693816101,0.4035894106672402,0.8770879497439329,False
SPTY2D1,0.30042902404435523,0.05440517270849352,0.5304504339078119,False
MBLAC2,-0.19091873577530194,0.2727824938790385,0.8386790960877272,False
FMN1,0.5140500128506496,0.11604297310160216,0.6800879161282422,False
LMBRD2,0.047394383897536585,0.546659359147693,0.9370679211815144,False
ZFYVE26,-0.08972699367648218,0.2140001586071666,0.796887571096153,False
MSL1,0.1904961145720847,0.18636790412927773,0.7668014469769195,False
CRYBG3,0.018507348540083512,0.8066559547336118,0.978017374036115,False
INTS3,-0.018606280757122562,0.7848714100265816,0.9757676912534892,False
ARHGAP17,0.07752071009301531,0.36209675547390624,0.8676073108938235,False
CDCA2,0.7888837514530458,0.009456958285109304,0.2711176101057575,False
CWF19L1,-0.22428250660602345,0.13148951812120768,0.6958347443338581,False
KIAA1429,0.05359074930347063,0.5017980908443236,0.9241165240783552,False
SPECC1L,0.15559593747928346,0.1783460893472555,0.7632902418660206,False
C12orf73,0.014930659070042651,0.8630553991548345,0.9853852578924835,False
HEATR6,0.05806841460273304,0.6752873006888377,0.9558209137948426,False
ANKRD40,0.3100809037758303,0.033810292927181955,0.4329938901791078,False
UHRF1BP1,0.40861174013774004,0.24786504064421616,0.8273351377053714,False
ZNF787,-0.0250082646683083,0.7729963560087771,0.9747728847731245,False
ATL3,0.1377272977917947,0.2718275677028971,0.8386146206467584,False
RPL7L1,-0.07865482274252145,0.5610948954398353,0.9412902243607043,False
NXN,0.10334906848092373,0.6747603555818151,0.9558209137948426,False
