Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Variable modifications first search	Use variable modifications first search	Multiplicity	Max. missed cleavages	Max. labeled AAs	Labels0	Labels1	Labels2	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Multiplets	Multiplets z=1	Multiplets z=2	Multiplets z=3	Multiplets z=4	Multiplets z=5	Multiplets z=6	Multiplets z=7	Multiplets Sequenced	Multiplets Sequenced [%]	Multiplets Repeatedly Sequenced	Multiplets Repeatedly Sequenced [%]	Multiplets Identified	Multiplets Identified [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6	RAF1	9	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		12248	92311	126942	27837	29843	69262	19327	14882	3815	630	15.23	53.46	12.78	0.91	5246	1909530	78251	4.1	4020	5.14	154752	48534	45736	31.36	36.62	6988	14.4	11989	249	4331	5737	1458	169	36	9	9931	82.83	8014	80.7	5288	53.25	+	0.57127	0.73163	0.39121	0.53082	
20131114_CCS_EV_A375_RAFi_30min_S07_8	RAF1	10	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13407	89412	132603	17664	28557	86382	10726	8358	2068	300	8.09	47.32	7.24	0.35	2816	1869118	71259	3.81	4044	5.68	119892	36931	34918	30.8	36.27	6948	18.81	6828	35	1097	3783	1590	268	46	9	6015	88.09	4941	82.14	2862	47.58	+	0.54421	0.68478	0.35347	0.46173	
20131114_CCS_EV_A375_RAFi_30min_S09_10_11	RAF1	11	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13927	88668	143384	6894	27058	109432	3850	2704	1003	143	2.69	39.22	3.71	0.13	1141	2197749	66469	3.02	2980	4.48	103343	27120	25361	26.24	31.99	5262	19.4	2815	17	299	1121	949	306	96	27	2500	88.81	2054	82.16	972	38.88	+	0.67931	0.83284	0.42296	0.55237	
20131114_CCS_EV_A375_RAFi_30min_S013_14	RAF1	12	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		14518	85260	124300	24062	22158	78080	10289	9102	1018	169	8.28	37.83	4.59	0.22	3153	1608430	66230	4.12	4210	6.36	115476	37036	35233	32.07	38.88	7114	19.21	9006	77	2930	4907	1003	79	9	1	7883	87.53	6541	82.98	3372	42.78	+	0.55996	0.69998	0.36433	0.47346	
20131114_CCS_EV_A375_RAFi_30min_S015	RAF1	13	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		16993	76793	123556	12681	17349	93526	3286	2993	260	33	2.66	23.6	1.5	0.04	1162	1467855	57026	3.88	3284	5.76	76063	23776	20652	31.26	43.56	4377	18.41	4346	56	2559	1501	204	19	4	3	4024	92.59	3442	85.54	1237	30.74	+	0.49215	0.62271	0.36277	0.48426	
20131116_CCs_EV_A375_ERKi_30min_S01	ERK1	7	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		14927	83134	123437	16829	26002	80606	6187	4966	1017	204	5.01	29.51	3.91	0.25	1765	1659187	67392	4.06	3844	5.7	109525	35714	30843	32.61	41.64	5382	15.07	6748	358	4236	1893	213	38	7	3	5897	87.39	4823	81.79	1908	32.36	+	0.60574	0.74194	0.47926	0.61165	
20131116_CCs_EV_A375_ERKi_30min_S01_131121210011	ERK1b	7	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		14981	83638	128515	14935	23826	89754	5643	4382	1037	224	4.39	29.34	4.35	0.25	1494	1594679	63670	3.99	3983	6.26	96303	31459	27313	32.67	40.26	5122	16.28	5642	270	3605	1581	159	21	5	1	4970	88.09	4079	82.07	1466	29.5	+	0.60284	0.74477	0.46943	0.60311	
20131116_CCs_EV_A375_ERKi_30min_S02_12	ERK1	8	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		17887	75320	125912	8132	16596	101184	1020	903	84	33	0.81	11.1	0.51	0.03	243	1484989	46679	3.14	2889	6.19	79516	20114	17859	25.3	34.03	3301	16.41	3181	295	2200	639	46	1	0	0	2711	85.22	2156	79.53	238	8.78	+	0.5247	0.64967	0.37517	0.50487	
20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411	ERK1b	8	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		16328	80237	133465	8856	18153	106456	1271	1193	45	33	0.95	13.47	0.25	0.03	241	1507546	49073	3.26	3224	6.57	85304	21539	19050	25.25	32.06	3523	16.36	3515	295	2447	725	44	4	0	0	2885	82.08	2217	76.85	250	8.67	+	0.55352	0.72882	0.35949	0.46932	
20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6	ERK1	9	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		14167	87303	132821	17993	23792	91036	9047	7039	1666	342	6.81	39.12	7	0.38	2262	1795552	64061	3.57	4105	6.41	126847	33436	31609	26.36	30.15	6038	18.06	6984	151	2419	3770	600	37	7	0	5959	85.32	4809	80.7	2271	38.11	+	0.61823	0.77502	0.40749	0.53253	
