ensp,gene
ENSP00000464936,ZSCAN5A
ENSP00000465085,RANBP3
ENSP00000465115,GOSR1
ENSP00000465161,PHF12
ENSP00000465177,NFIC
ENSP00000465210,ATXN7L3
ENSP00000465213,POP4
ENSP00000465377,KIF18B
ENSP00000465663,BCL2L14
ENSP00000465751,CACTIN
ENSP00000466044,RBM42
ENSP00000466214,PDCD5
ENSP00000466250,PTBP1
ENSP00000466259,ACLY
ENSP00000466292,PLEKHF1
ENSP00000466389,NFIX
ENSP00000466459,PRKAR1A
ENSP00000466651,PRKACA
ENSP00000466670,MBD3
ENSP00000466707,LIN37
ENSP00000466718,LSM12
ENSP00000466747,GIPC1
ENSP00000466794,PSME3
ENSP00000466867,RHBDF2
ENSP00000467029,KANK2
ENSP00000467050,DNMT1
ENSP00000467140,BORCS8
ENSP00000467482,TMC8
ENSP00000467517,HEXIM2
ENSP00000467521,PPP6R1
ENSP00000467556,GPATCH8
ENSP00000467612,KCTD15
ENSP00000467678,KDM4B
ENSP00000467805,EFTUD2
ENSP00000467824,PLEKHH3
ENSP00000467885,USP32
ENSP00000467967,FZR1
ENSP00000468004,HDAC5
ENSP00000468156,ILF3
ENSP00000468181,ILF3
ENSP00000468281,BLOC1S3
ENSP00000468424,NMT1
ENSP00000468487,TCF3
ENSP00000468532,ZNF532
ENSP00000468546,NEDD4L
ENSP00000468638,DOCK6
ENSP00000468647,TNRC6C
ENSP00000468734,DNM2
ENSP00000468740,UBN1
ENSP00000469413,PAK4
ENSP00000469441,CTAG1A
ENSP00000469468,LSM4
ENSP00000469710,VRK3
ENSP00000470092,SPHK2
ENSP00000470185,CT45A1
ENSP00000470237,SAMD4B
ENSP00000470715,ARHGEF1
ENSP00000470729,ARHGEF18
ENSP00000470740,SSX2B
ENSP00000471099,USF2
ENSP00000471454,CCDC61
ENSP00000471502,LRRC4B
ENSP00000471605,BABAM1
ENSP00000471865,ZBTB7A
ENSP00000471981,EPS15L1
ENSP00000472197,ELAVL1
ENSP00000472300,PNKP
ENSP00000472400,NUMBL
ENSP00000472711,SHKBP1
ENSP00000472816,PTOV1
ENSP00000472819,MYH14
ENSP00000472969,ZNF99
ENSP00000472998,SNRNP70
ENSP00000473086,DDA1
ENSP00000473132,HNRNPUL1
ENSP00000473211,PNPLA6
ENSP00000473312,PSMD8
ENSP00000473462,RUFY2
ENSP00000473589,S100A6
ENSP00000473591,UBE2E3
ENSP00000473622,PPFIA3
ENSP00000473638,RBM15
ENSP00000474348,ZSWIM8
ENSP00000474609,TAF15
ENSP00000474667,PSRC1
ENSP00000474710,NOLC1
ENSP00000474844,SPATA6
ENSP00000475059,MEX3D
ENSP00000475168,RER1
ENSP00000475177,ITPR3
ENSP00000475189,ANKRD34A
ENSP00000475320,BNIP2
ENSP00000475617,PITX2
ENSP00000475845,CDC42SE1
ENSP00000476386,DCP1A
ENSP00000476446,GPN1
ENSP00000476689,ARHGEF2
ENSP00000476704,SUCO
ENSP00000476755,PPP1R12B
ENSP00000476788,MEF2D
ENSP00000476893,TMEM9
ENSP00000477077,PSIP1
ENSP00000477318,USP43
ENSP00000477429,PANK2
ENSP00000477486,TOR1AIP2
