ensp,gene
ENSP00000280871,SLC2A13
ENSP00000281092,FER
ENSP00000281142,SCLT1
ENSP00000281419,ASAP2
ENSP00000281453,CENPU
ENSP00000281871,MZT2B
ENSP00000281928,MED13L
ENSP00000282003,OBI1
ENSP00000282032,ARL14EP
ENSP00000282388,ZFP36L2
ENSP00000282441,YAP1
ENSP00000282516,NIPBL
ENSP00000283131,SMARCA5
ENSP00000283179,HNRNPU
ENSP00000283195,RANBP2
ENSP00000283206,TMEM87B
ENSP00000283646,RPIA
ENSP00000284320,TOMM70
ENSP00000284563,ENAH
ENSP00000285021,XPC
ENSP00000285106,CXXC1
ENSP00000285697,C16orf87
ENSP00000285873,GEMIN5
ENSP00000285968,NUP205
ENSP00000286307,LSM11
ENSP00000286788,CCT8
ENSP00000287263,RAB11FIP1
ENSP00000287295,AIFM1
ENSP00000287322,BAG4
ENSP00000287394,ATAD2
ENSP00000287482,SASS6
ENSP00000287598,BUB1B
ENSP00000288235,MYO1E
ENSP00000288266,APPL1
ENSP00000288602,BRAF
ENSP00000288670,FMNL2
ENSP00000288757,C12orf43
ENSP00000289576,TAC1
ENSP00000289619,PAGE5
ENSP00000289968,ARHGAP17
ENSP00000290231,NCOA5
ENSP00000290291,OGFR
ENSP00000290341,IGF2BP1
ENSP00000290378,ACTC1
ENSP00000290649,AMFR
ENSP00000290759,ISL2
ENSP00000291107,ABR
ENSP00000291552,U2AF1
ENSP00000291574,TRAPPC10
ENSP00000292330,PPP1R35
ENSP00000292599,MAML1
ENSP00000292616,LRWD1
ENSP00000293217,ACOX1
ENSP00000293379,ITGA5
ENSP00000293683,PDE4A
ENSP00000293760,LEMD2
ENSP00000293872,LUC7L
ENSP00000294008,SLX4
ENSP00000294016,ADCY9
ENSP00000294179,STX5
ENSP00000294244,SPINDOC
ENSP00000294383,USP24
ENSP00000294618,DOCK6
ENSP00000294904,RBMS1
ENSP00000295148,WDCP
ENSP00000295321,IWS1
ENSP00000295633,FSTL1
ENSP00000295640,RNPEP
ENSP00000295704,RNF25
ENSP00000295770,STT3B
ENSP00000295872,SPICE1
ENSP00000295874,PTPRG
ENSP00000295886,NKX6-1
ENSP00000295926,CCNL1
ENSP00000296015,TTC14
ENSP00000296043,SHROOM3
ENSP00000296121,KIAA1143
ENSP00000296161,DTX3L
ENSP00000296215,SNIP1
ENSP00000296220,OSBPL11
ENSP00000296288,BAP1
ENSP00000296328,UBXN7
ENSP00000296425,PGRMC2
ENSP00000296446,PRKAR2A
ENSP00000296456,APEH
ENSP00000296504,SAP30
ENSP00000296564,ICE1
ENSP00000296755,MAP1B
ENSP00000297071,TRA2A
ENSP00000297109,SAP30L
ENSP00000297293,LMTK2
ENSP00000297508,MICALL2
ENSP00000297540,PHAX
ENSP00000297591,VIRMA
ENSP00000297689,NFIL3
ENSP00000298090,PABIR2
